macro	latex	meaning	domain	defined_in	note
qs	q	size parameter: field size (Artin-Schreier), LPS prime (Weil-LPS), and D - 1 = degree - 1 for graphs and channels	all	RC-01	one overloaded symbol by convention; the roles never co-occur, and in every role the critical modulus is sqrt q
pp	p	a rational prime; the modulus of the Weil representation in RC-05	all	RC-01	-
lamtwo	\lambda_2	second largest eigenvalue (or singular value) of a channel or graph, normalised to leading eigenvalue 1	expanders	RC-02	-
lamH	\lambda_H	Hastings bound 2 sqrt(D-1)/D	expanders	RC-02	quoted from Hastings, prov:hastings07-bound
edgeev	\mu	eigenvalue of the edge operator T; pairs mu mu' = q with an adjacency eigenvalue lambda	graphs	RC-02	-
wl	\ell	length of a walk, word or prime cycle	graphs, quantum Ihara	RC-02	the Deligne note's m and the notebook's n for walk length are both renamed to ell
Ncount	N_{#1}	closed non-backtracking walk count of length ell, or point count over F_{q^ell}	graphs, curves	RC-02	-
pcycle	P	prime cycle of a graph (primitive closed non-backtracking walk up to rotation)	graphs	RC-02	-
Frob	\mathrm{Fr}	Frobenius	curves	RC-06	note deligne-via-graphs uses F; renamed to avoid the Fourier transform
hol	\varrho	representation twisting a zeta (holonomy, Artin-Ihara twist, adjoint representation)	graphs, Deligne	RC-07	notes use rho; renamed since rho is a zeta zero
dm	X	density matrix or general operator input of a channel	channels	RC-01	notes use rho; renamed since rho is a zeta zero
zero	\rho	nontrivial zero of zeta, rho = sigma + i gamma	number theory	RC-01	notes write rho = beta + i gamma; beta is reserved for inverse temperature
sigs	\sigma	real part of s (or of a zero)	number theory	RC-01	-
gam	\gamma_{#1}	imaginary part of the n-th zero	number theory	RC-01	-
cxi	\xi	completed zeta xi(s) = (1/2) s (s-1) pi^{-s/2} Gamma(s/2) zeta(s)	number theory	RC-04	-
Ssym	S	Lax-Phillips scattering symbol S(tau) = xi(1 - 2 i tau)/xi(1 + 2 i tau)	Riemann channel	RC-04	-
tauM	\tau	Mellin variable on the dilation group; dilation by e^t acts as e^{i t tau}	Riemann channel	RC-04	-
KS	K_S	model space H^2 minus S H^2	Riemann channel	RC-04	-
Zt	Z(t)	compressed dilation semigroup P_{K_S} e^{i t tau} restricted to K_S	Riemann channel	RC-04	-
vM	\Lambda	von Mangoldt function	number theory	RC-01	-
cheb	\psi	Chebyshev function psi(x) = sum_{n <= x} Lambda(n)	number theory	RC-03	psi is never an additive character nor an MPS state in this book
addch	\mathrm e_q	additive character of F_q composed with the trace	curves	RC-06	note uses psi; renamed
levy	\kappa_{#1}	Bost-Connes Levy exponent kappa_sigma(tau) = log zeta(sigma - i tau) - log zeta(sigma)	Bost-Connes	RC-04	note uses psi_sigma; renamed
jump	\nu_{#1}	von Mangoldt jump measure nu_sigma = sum p^{-k sigma}/k delta_{k log p}	Bost-Connes	RC-04	-
invtemp	\beta	inverse temperature of the Bost-Connes system	Bost-Connes	RC-04	never the real part of a zero
ringlen	\mathsf L	ring length variable of the length flow (prime powers sit at L = log n)	Riemann channel	RC-03	note ringnorm uses u = t/2; u is reserved for the zeta variable
Fwin	F	windowed zero sum F(u) of the ring-norm test	Riemann channel	RC-04	-
Tmat	E	transfer matrix of a matrix product state (the Artin-Schreier transfer matrix is the instance of RC-06)	MPS, curves	RC-02	the superoperators of a Kraus family are \mathcal E_i, a different glyph
mps	\Psi_{#1}	periodic matrix product state on n sites	MPS	RC-02	note uses psi_n; renamed
ringnorm	\langle\Psi_{#1}|\Psi_{#1}\rangle	ring norm of the periodic n-site state, = Tr E^n	MPS	RC-02	-
corrlen	\ell^{\mathrm{c}}_{#1}	k-th correlation length of a transfer matrix	MPS	RC-03	note uses xi_k; renamed since xi is the completed zeta
ent	h	entropy per site (log of the leading eigenvalue)	MPS	RC-03	-
Fq	\mathbb F_q	finite field with q elements	curves	RC-01	-
Fp	\mathbb F_p	finite field with p elements	curves, Weil-LPS	RC-01	-
Fqn	\mathbb F_{q^{#1}}	extension of degree n	curves	RC-06	-
expsum	\mathcal S_{#1}	exponential sum S_n(g) = sum_{x in F_{q^n}} e_q(Tr g(x))	curves	RC-06	note uses S_n; renamed to avoid the scattering symbol
asrange	J	range of the quadratic Artin-Schreier polynomial, dim E = q^J	curves	RC-06	italic J; the reversal operator is sans-serif \mathsf J
alphaw	\alpha_{#1}	Frobenius eigenvalues (roots of the L-polynomial), |alpha| = sqrt q	curves	RC-06	-
SL	\mathrm{SL}_2	special linear group	Weil-LPS	RC-05	-
PSL	\mathrm{PSL}_2	projective special linear group	Weil-LPS	RC-05	-
Weil	W	Weil representation W(g) of SL_2(F_p) on l^2(F_p)	Weil-LPS	RC-05	-
Wpm	W_{\pm}	even and odd blocks of the Weil representation, dimensions (p +- 1)/2	Weil-LPS	RC-05	-
PhiWL	\Phi_{#1}	Weil-LPS channel for the LPS prime q (with superscript pm for the block)	Weil-LPS	RC-05	-
quat	\alpha	integer quaternion of norm q in the LPS normalisation	Weil-LPS	RC-05	alpha without subscript; the Frobenius eigenvalues carry a subscript
galpha	g_{\alpha}	image of the quaternion alpha in SL_2(F_p)	Weil-LPS	RC-05	-
clock	Z	clock operator on l^2(F_p)	Weil-LPS	RC-05	-
shift	\mathsf X	shift operator on l^2(F_p)	Weil-LPS	RC-05	sans-serif; italic X is a channel input
Four	\mathcal F	Fourier transform on l^2(F_p)	Weil-LPS	RC-05	note uses F; renamed
chirp	\mathsf M	chirp operator diag e_p(x^2/2)	Weil-LPS	RC-05	note uses M; renamed
Dil	\mathsf D	dilation unitary on l^2(F_p)	Weil-LPS	RC-05	note uses D; renamed since D is the number of Kraus operators
Isplit	\mathbf I	splitting matrix I = ((x, y), (y, -x)) with x^2 + y^2 + 1 = 0 mod p	Weil-LPS	RC-05	-
Jsplit	\mathbf J	splitting matrix J = ((0, 1), (-1, 0))	Weil-LPS	RC-05	-
Hei	T(u,v)	Heisenberg-Weyl operator X^u Z^v	Weil-LPS	RC-05	only with two arguments; T alone is the edge operator
dweight	c	pointwise weight scalar of a twisted coefficient system (|eigenvalue| = c^ell)	Deligne	RC-07	-
Lcurve	L	L-function (of a curve with coefficients, or Artin-Ihara)	graphs, curves	RC-02	-
digam	(\Gamma'/\Gamma)	digamma function in the archimedean term of the explicit formula	number theory	RC-04	note uses psi; written as the logarithmic derivative to keep psi for Chebyshev
wt	w	weight of a pure coefficient system (|Frobenius eigenvalue| = q^{w/2})	Deligne	RC-07	note uses beta; renamed since beta is the inverse temperature
ftr	\operatorname{tr}_{q^n/q}	field trace from F_{q^n} to F_q	curves	RC-06	lowercase tr; \Tr is the operator trace
curvezeta	Z_C	zeta function of a curve C over F_q, exp sum_n N_n u^n / n	curves	RC-06	the notes write Z(C,T) and Z_C(t); the zeta variable is always u
Gwin	G_{\mathrm w}	Gaussian window width of the ring-norm test	Riemann channel	RC-04	note uses G; renamed since G is a group
Fweil	F_{\mathrm W}	zero-side function sum_rho e^{(rho - 1/2) u} whose positive-definiteness is Weil's criterion	number theory	RC-03	note uses F(u); renamed to avoid the numerical window sum F
phase	\vartheta_{#1}	k-th oscillation frequency of a transfer matrix, lambda_k = exp(-1/ell^c_k + i vartheta_k)	MPS	RC-03	note uses theta_k; renamed since theta is the normal-basis generator
nbgen	\theta	generator of a normal basis of F_{q^n}	curves	RC-06	-
sqrtq	s_q	a square root of q modulo p	Weil-LPS	RC-05	note uses s; renamed since s is the complex variable of zeta(s)
bciso	\mathsf m_{#1}	Bost-Connes isometry mu_n	Bost-Connes	RC-04	note uses mu_n; renamed since mu is an edge eigenvalue
shor	\mathsf U_{#1}	Shor's unitary x -> a x mod N, the level-N Galois symmetry of Bost-Connes	Bost-Connes	RC-04	-
win	\hat g	test window in the explicit formula (Fourier transform g)	number theory	RC-04	g(x) without a hat is the Artin-Schreier polynomial
tsg	t	semigroup time in Z(t); dilation by e^t	Riemann channel	RC-04	never the zeta variable of a curve (that is u)
uz	u	the zeta variable, in zeta_X(u), zeta_T(u), Z_C(u), det(1 - uT)	all	RC-01	never t/2 (that is L) and never a Heisenberg-Weyl exponent
ltwo	\ell^2(#1)	Hilbert space of square-summable functions on a set	general	RC-01	not a walk length
dwork	\mathcal O_{\mathrm{Dw}}	Dwork's p-adic transfer operator, multiplication by the splitting function then decimation	curves	RC-06	note uses alpha; renamed
decim	\operatorname{dec}_{\qs}	decimation x^m -> x^{m/q} on p-adic power series	curves	RC-06	note uses psi_q; renamed
ladic	\ell\text{-adic}	ell-adic (cohomology); this ell is not a walk length	Deligne	RC-06	-
gflow	\mathcal X	generator of the geodesic flow on Gamma\G, X = H/2 through left-invariant fields; (e^{-tX} f)(m) = f(phi_{-t} m)	Selberg	RC-09B	-
Hgen	\mathsf H	left-invariant field of H = diag(1,-1)	Selberg	RC-09B	-
Egen	\mathsf E	left-invariant field of E = ((0,1),(1,0))	Selberg	RC-09B	-
Wgen	\mathsf W	left-invariant field of W = ((0,1),(-1,0)), the compact direction	Selberg	RC-09B	-
Cas	\Omega	Casimir (1/4)(H^2 + E^2 - W^2)	Selberg	RC-09B	-
Lap	\Delta	positive hyperbolic Laplacian -y^2(d_x^2 + d_y^2)	Selberg	RC-09B	sources differ in sign; this book's Delta is positive
lamj	\lambda_{#1}	j-th Laplace eigenvalue, lambda_j = 1/4 + r_j^2	Selberg	RC-09B	-
rj	r_{#1}	spectral parameter of lambda_j; r_0 = i/2 for the constant mode, r_j = i nu_j for exceptional eigenvalues	Selberg	RC-09B	-
Zsel	Z_{\mathrm{Sel}}	Selberg zeta prod_gamma prod_{k>=0} (1 - e^{-(s+k) ell_gamma})	Selberg	RC-09B	-
Ruelle	\zeta_{R}	Ruelle zeta prod_gamma (1 - e^{-s ell_gamma}) = Z_Sel(s)/Z_Sel(s+1)	Selberg	RC-09B	direct product convention
Poinc	P_{\gamma}	linearised Poincare map of the closed geodesic gamma	Selberg	RC-09B	-
flattr	\operatorname{Tr}^{\flat}	Guillemin flat trace	Selberg	RC-09B	-
lapvar	\varsigma	Laplace variable of the flat trace (the resonance variable), never the Selberg variable s	Selberg	RC-09B	-
lapfl	\varLambda_{\mathrm{fl}}	Laplace transform of the flat trace, int_0^infty e^{-varsigma t} Tr^flat e^{-tX} dt	Selberg	RC-09B	-
Dtow	D_{\mathrm{tow}}	the tower prod_{j>=1} Z_Sel(varsigma + j), the flat dynamical determinant	Selberg	RC-09B	-
firstband	\mathcal B_0	nonconstant first band {-1/2 +- i r_j : j >= 1}	Selberg	RC-09B	-
scatdet	\varphi	scattering determinant of PSL(2,Z), sqrt(pi) Gamma(s-1/2) zeta(2s-1)/(Gamma(s) zeta(2s))	modular	RC-09B	-
scmult	m_{\mathrm{sc}}	scattering multiplier -(1/2)(varphi'/varphi)(1/2 + i r)	modular	RC-09B	-
cuspC	C_{\mathrm{cusp}}	inverse Fourier transform of the scattering multiplier	modular	RC-09B	-
primeP	P_{+}	positive-time prime measure sum_n Lambda(n)/n delta(t - 2 log n)	modular	RC-09B	-
primech	P_{\mathrm{ch}}	prime measure sum_n Lambda(n) n^{-1/2} delta(t - 2 log n) of the Riemann-channel note	modular	RC-09B	-
archA	A_{\mathrm{arch}}	archimedean-plus-boundary distribution 1/2 - 1/(4 sinh(|t|/2)) away from zero	modular	RC-09B	-
trivS	S_{\mathrm{triv}}	trivial sub-multiset of the spectrum, removed before rescaling	Weil positivity	RC-08B	the prover's S; renamed since S is the scattering symbol
critr	r	critical radius; sqrt(D-1) in the unitary Kraus case	Weil positivity	RC-08B	-
retA	\mathcal A_{\mathrm{ret}}	retained multiset spec(X) minus S_triv (algebraic multiplicities)	Weil positivity	RC-08B	-
nuseq	\mathsf n_{#1}	rescaled trace sequence n_l = r^{-l}(Tr X^l - sum_{S_triv} mu^l), n_{-l} = conj(n_l)	Weil positivity	RC-08B	the prover's nu_l; renamed since nu_sigma is the Levy jump measure
Wform	\mathrm{W}	Weil (Toeplitz) form sum_{l,m} c_l conj(c_m) nu_{l-m}	Weil positivity	RC-08B	upright; sans-serif W is the compact field, calligraphic W the edge space
Mform	\mathrm{M}	mode-pairing form sum_mu f_c(mu/r) conj(f_c(J(mu)/r))	Weil positivity	RC-08B	upright; sans-serif M is the chirp
reflJ	\mathrm{J}	reflection in the critical circle, J(mu) = r^2/conj(mu); fixed points |mu| = r	Weil positivity	RC-08B	upright; italic J is the Artin-Schreier range, sans-serif J the backtracking operator
Lgen	\mathcal L	Lindblad-type generator K x + x K^dagger + sum_j R_j x R_j^dagger on M_n	Weil positivity	RC-08B	-
Fresc	\mathrm{F}	rescaled continuous trace F(t) = e^{-at}(Tr e^{tL} - trivial part), F(-t) = conj(F(t))	Weil positivity	RC-08B	upright; italic F is the ring-norm window sum
alev	a	critical real part, the line Re rho = a; a = -1/4 for the Riemann channel	Weil positivity	RC-08B	-
fcpoly	f_{#1}	polynomial f_c(z) = sum_l c_l z^l of a finitely supported coefficient vector c	Weil positivity	RC-08B	-
Rrefl	\mathrm{R}_{#1}	reflection in the line Re rho = a, R_a(rho) = 2a - conj(rho)	Weil positivity	RC-08B	-
lmode	\varpi	generic eigenvalue (mode) of a continuous transfer generator L	Weil positivity	RC-08C	the prover's rho; renamed since rho is a zeta zero
sigev	\varkappa	eigenvalue of the unnormalised transfer matrix Sigma (the prover's alpha); pairs with the two roots of mu^2 - alpha mu + q	Weil positivity	RC-08B	renamed since alpha is a quaternion
str	\operatorname{str}	supertrace: trace on the even part minus trace on the odd part of a Z_2-graded space	graded	RC-04B	-
combP	\operatorname{comb}	prime comb sum_{n>=2} Lambda(n) delta(u - log n) on (0, infinity)	number theory	RC-04B	-
Trd	\operatorname{Tr}_{\mathrm{dist}}	distributional trace of the compressed semigroup, sum_rho e^{-conj(rho) t/2}, a definition by fiat	Riemann channel	RC-04B	-
netmult	\nu_{\mathrm{net}}	net signed multiplicity m(lambda,+) - m(lambda,-) of a graded spectral datum	graded	RC-04B	-
gbond	\mathfrak B	Riemann graded bond C_+ (+) (K_S (+) l^2(N_{>=1}))_-	Riemann channel	RC-04B	-
Ggr	\mathsf G	graded generator 0 (+) B (+) diag(-(k+1/2)) on the Riemann graded bond	Riemann channel	RC-04B	-
Bgen	B	generator of the compressed semigroup, Z(t) = e^{tB}	Riemann channel	RC-04B	-
Lvac	\mathcal L_{\mathrm{vac}}	vacuum-decay Lindbladian on B(C (+) H): no-event part 0 (+) B, jump |vac><j|	channels	RC-04C	-
vac	\mathrm{vac}	vacuum vector spanning the even line of the vacuum-decay model	channels	RC-04C	-
Omvac	\Omega_{\mathrm{vac}}	vacuum density |vac><vac|, the stationary state of the vacuum-decay Lindbladian	channels	RC-04C	-
Lpc	\mathcal L^{\mathrm{pc}}_{#1}	prime-chain detailed-balance Lindbladian at inverse temperature beta, jumps mu_p and mu_p^dagger	Bost-Connes	RC-04C	-
gibbs	\varrho^{\mathrm{G}}_{#1}	Bost-Connes Gibbs density N^{-beta}/zeta(beta) on l^2(N)	Bost-Connes	RC-04C	-
entS	\mathcal S_{\mathrm{ent}}	von Neumann entropy of a bond density (entanglement entropy of the half-line in the cMPS reading)	Bost-Connes	RC-04C	-
TFD	\mathrm{TFD}_{#1}	thermofield-double purification of the Gibbs density	Bost-Connes	RC-04C	-
Etr	\mathbb E	super-transfer matrix of an Artin-Schreier curve: even block E_0 (+) (1), odd block the Frobenius blocks	curves	RC-06B	-
Fodd	F_{#1}	corrected Frobenius block of the character sum S_n(g), L(g,T) = det(1 - T F_g)	curves	RC-06B	-
Qring	Q^{\circ}_{#1}	ring quadratic form sum_j a_j sum_i x_i x_{i+j} on F_q^n (indices mod n), matrix P(S)	curves	RC-06B	-
Qtrace	Q^{\mathrm{tr}}_{#1}	trace quadratic form tr(g(x)) in normal-basis coordinates, matrix C P(S)	curves	RC-06B	-
Ppoly	\mathsf P_{#1}	symmetrised coefficient Laurent polynomial P_g(z) = sum_j (a_j/2)(z^j + z^{-j})	curves	RC-06B	-
cshift	\mathbb S	cyclic shift (S x)_i = x_{i+1} on F_q^n, the Frobenius in normal-basis coordinates	curves	RC-06B	-
radn	\mathcal R_{#1}	radical ker P_g(S) of the ring form on F_q^n	curves	RC-06B	-
dsign	\delta_{#1}	radical sign det(S restricted to the radical R_n) in {+1,-1}	curves	RC-06B	-
hper	\mathsf h	period parameter: the smallest power of q strictly greater than the order of vanishing of z^J P_g(z) at -1	curves	RC-06B	-
dfix	d_{#1}	rank deficiency of the ring form, = dim ker(M_g^n - 1), = log_q(|S_n|^2/q^n)	curves	RC-06B	-
Msymp	M_{#1}	symplectic matrix in Sp(2J, F_q) implemented by the transfer unitary E_g/sqrt q	curves	RC-06B	-
Weyl	\mathrm{X}_{#1}	centred Weyl operator X_{u,v}|s> = e_q(v.(s + u/2))|s + u> on l^2(F_q^J)	curves	RC-06B	-
Ugu	\mathcal U_{#1}	transfer unitary E_g/sqrt q	curves	RC-06B	-
Sp	\mathrm{Sp}	symplectic group	curves	RC-06B	-
Dg	\mathsf D_{#1}	transfer determinant D_g(T) = det(1 - T E_g)	curves	RC-06B	-
gzeta	\mathcal Z	graded geodesic determinant (total zeta) of a complex with specified geodesic data	complexes	RC-02D	subscripts ord and pt select the ordered-cell and pointed-opposition data
sdet	\operatorname{sdet}	superdeterminant (Berezinian) of an even operator on a Z_2-graded space	graded, complexes	RC-02D	sdet = det on the even part divided by det on the odd part
Spc	\mathfrak S	finite set of particle species of a boson-fermion cMPS	cMPS	RC-02F	-
Fock	\mathfrak F	graded Fock space over L^2([0,L)) for the species set	cMPS	RC-02F	-
vacF	\Omega_{\mathfrak F}	Fock vacuum	cMPS	RC-02F	bare Omega is the Casimir
Fpar	(-1)^{\hat F}	fermion parity operator on the Fock space	cMPS	RC-02F	-
simplex	\Delta^{<}_{#1}	open ordered simplex {0 < x_1 < ... < x_n < L}	cMPS	RC-02F	bare Delta is the Laplacian
Kamp	\mathcal K_{#1}	ordered amplitude space L^2(ordered simplex x species^n)	cMPS	RC-02F	-
Jiso	\mathcal J	isometry from ordered amplitudes into the Fock space	cMPS	RC-04E	-
cmps	\Psi^{\mathrm c}_{#1}	cMPS ring vector with boundary matrix B	cMPS	RC-02F	-
camp	c^{#1}	n-particle amplitude c^B_n of a cMPS ring vector	cMPS	RC-02F	-
Tcm	\mathbb T	cMPS transfer generator Q(x)1 + 1(x)conj Q + sum_a s_a R_a (x) conj R_a on the doubled bond (subscript eta: fermionic signs)	cMPS	RC-02F	-
Gdb	\Gamma_{\mathrm b}	doubled-bond parity P (x) conj P	cMPS	RC-02F	-
Pisec	\Pi_{#1}	bond parity sector projections (1 +- P)/2	cMPS	RC-02F	-
Edb	\mathcal E_{\mathrm d}	doubled transfer matrix sum_s A_s (x) conj A_s of a graded lattice tensor	MPS, graded	RC-02G	the continuum generator is Tcm
Esec	{\mathcal E_{\mathrm d}^{(#1)}}	restriction of the doubled transfer to the Gamma_b-sector k = 0 (even) or 1 (odd)	graded Ramanujan	RC-02H	-
pmode	r_{P}	P-mode eigenvalue under parity-twisted unitality: sum_s eps_s A_s A_s^dagger = r_P 1, E(P) = r_P P	graded Ramanujan	RC-02H	-
specrad	\operatorname{rad}	spectral radius of an operator	graded Ramanujan	RC-02H	-
constit	\upsilon	irreducible constituent of a tensor product of representations (a sector of the doubled bond)	graded Ramanujan	RC-03C	-
