id	term	shard	status	provenance	merged_from
def:ramanujan-channel	Ramanujan quantum expander (Hastings bound)	report/sections/02_definitions.tex	quoted	prov:hastings07-bound	weil-lps-channels:2; quantum-ihara-general:6
def:quantum-hashimoto	quantum Hashimoto operator and quantum Ihara zeta	report/sections/02_definitions.tex	stipulated	-	quantum-ihara-general:1; weil-lps-channels:2; transcript 08:15
def:artin-ihara	Artin-Ihara L-function	report/sections/02_definitions.tex	stipulated	-	deligne-via-graphs:5,8; prior-art:2
def:riemann-channel	Riemann channel	report/sections/02b_definitions_arithmetic.tex	stipulated	-	riemann-channel-note:3; what-rh-has-become:6
def:scattering-symbol	scattering symbol	report/sections/02b_definitions_arithmetic.tex	stipulated	-	riemann-channel-note:1; what-rh-has-become:6
def:inner-model-space	inner function, model space, compressed semigroup	report/sections/02b_definitions_arithmetic.tex	stipulated	-	riemann-channel-note:3
def:explicit-formula	Weil explicit formula	report/sections/02b_definitions_arithmetic.tex	stipulated	-	riemann-channel-note:5; what-rh-has-become:5
def:bost-connes	Bost-Connes system, KMS state, Levy exponent	report/sections/02b_definitions_arithmetic.tex	stipulated	-	riemann-channel-note:2,4; HANDOFF item 2
def:prime-chain-mpo	matrix product operator over the prime chain	report/sections/02b_definitions_arithmetic.tex	stipulated	-	HANDOFF item 2; riemann-channel-note:7
def:hilbert-polya	Hilbert-Polya operator	report/sections/02b_definitions_arithmetic.tex	stipulated	-	what-rh-has-become:7; deligne-via-graphs:9
def:weil-positivity	Weil positivity criterion	report/sections/02b_definitions_arithmetic.tex	stipulated	-	what-rh-has-become:7
def:lps-generators	LPS generators	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-lps-channels:1
def:weil-representation	Weil representation	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-lps-channels:1
def:weil-lps-channel	Weil-LPS channel	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-lps-channels:1; HANDOFF steering
def:hecke-relation	Hecke relation	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-lps-channels:2
def:artin-schreier	Artin-Schreier curve, exponential sum	report/sections/02b_definitions_arithmetic.tex	stipulated	-	artin-schreier-mps:2
def:self-dual-normal-basis	self-dual normal basis	report/sections/02b_definitions_arithmetic.tex	stipulated	-	artin-schreier-mps:2
def:dwork-operator	Dwork transfer operator	report/sections/02b_definitions_arithmetic.tex	stipulated	-	artin-schreier-mps:4
def:pure-weight	pure of weight, big monodromy, slicing, the sign	report/sections/02b_definitions_arithmetic.tex	stipulated	-	deligne-via-graphs:5,6,7,8
def:status-vocabulary	status vocabulary	report/sections/02b_definitions_arithmetic.tex	stipulated	-	quantum-ihara-general:0; RC-00
def:geodesic-flow	geodesic flow on the unit tangent bundle	report/sections/02b_definitions_arithmetic.tex	stipulated	-	notes/selberg/astra-proofs.md conventions
def:selberg-zeta	Selberg zeta function, Ruelle zeta	report/sections/02b_definitions_arithmetic.tex	quoted	prov:marklof04-selbergzeta	notes/selberg/astra-proofs.md T4
def:flat-trace	Guillemin flat trace	report/sections/02b_definitions_arithmetic.tex	quoted	prov:dz13-guillemin	notes/selberg/astra-proofs.md H-GUI
def:flat-tower	flat dynamical determinant (Selberg tower) and first band	report/sections/02b_definitions_arithmetic.tex	stipulated	-	notes/selberg/astra-proofs.md T4.1, T4.2
def:scattering-determinant	scattering determinant of the modular group, scattering multiplier	report/sections/02b_definitions_arithmetic.tex	quoted	prov:fjs16-scattering-det	notes/selberg/astra-proofs.md H-PHI
def:prime-measures	prime comb measures	report/sections/02b_definitions_arithmetic.tex	stipulated	-	notes/selberg/astra-proofs.md T5.2
def:rescaled-trace-sequence	trivial set, critical radius, rescaled trace sequence, positive definite sequence	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-positivity:1
def:weil-form	Weil form, reflection in the critical circle, mode-pairing form	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-positivity:1
def:kraus-pairings	adjoint pairing and inverse pairing of a Kraus family	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-positivity:2
def:continuous-rescaled-trace	rescaled continuous trace and positive definite function	report/sections/02b_definitions_arithmetic.tex	stipulated	-	weil-positivity:3
def:graded-spectral-datum	graded spectral datum, supertrace distribution, net multiplicity, cancelling pairs	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md T1
def:distributional-trace	distributional trace of the compressed semigroup, prime comb	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md H-TRACE
def:riemann-graded-bond	Riemann graded bond and generator	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md T4
def:vacuum-decay	vacuum-decay Lindbladian, absorbing-vacuum channel	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md T5
def:prime-chain-lindbladian	prime-chain detailed-balance Lindbladian	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md T6
def:bond-entanglement	entanglement Hamiltonian and entanglement entropy of a bond density	report/sections/02c_definitions_phantasm.tex	quoted	prov:vc10-schmidt	scripts/bc_entropy.py
def:as-ring-forms	ring form, trace form, radical, radical sign, period parameter	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md T7.2-T7.4
def:super-transfer	super-transfer matrix of an Artin-Schreier curve	report/sections/02c_definitions_phantasm.tex	stipulated	-	notes/riemann-cmps/astra-proofs.md T7.8
def:weyl-symplectic	centred Weyl operators, symplectic transfer map, Weil implementer	report/sections/02c_definitions_phantasm.tex	quoted	prov:gh07-egorov	notes/riemann-cmps/astra-proofs.md T7.9
def:ordered-geodesic-flow	ordered k-cell and ordered geodesic flow	report/sections/02d_definitions_complexes.tex	stipulated	-	notes/complex-zeta/astra-proofs.md T0.1
def:pointed-opposition-flow	pointed facet, opposition successor, algebraic length	report/sections/02d_definitions_complexes.tex	stipulated	-	notes/complex-zeta/astra-proofs.md T0.2
def:graded-geodesic-determinant	graded geodesic determinant, total zeta of a complex	report/sections/02d_definitions_complexes.tex	stipulated	-	notes/complex-zeta/astra-proofs.md T7.1
def:bruhat-tits-building	Bruhat-Tits building of PGL_n, colour-shift Hecke operators, Ramanujan complex	report/sections/02d_definitions_complexes.tex	quoted	prov:lsv05-ramdef	math/0406208; prov:lsv05-Ak
def:cayley-complex	Cayley complex	report/sections/02d_definitions_complexes.tex	quoted	prov:lsv05e-cayley	math/0406217
def:kraus-connection	Kraus connection on the 1-skeleton; flat, pure gauge, paired	report/sections/02d_definitions_complexes.tex	stipulated	-	notes/complex-zeta/astra-proofs.md T5.1, T5.5
def:voltage-quotient	voltage quotient and Artin block	report/sections/02d_definitions_complexes.tex	stipulated	-	notes/complex-zeta/astra-proofs.md T5.6
def:ramanujan-quantum-expander-a2	Ramanujan quantum expander of type A-tilde, exceptional space	report/sections/02d_definitions_complexes.tex	stipulated	-	notes/complex-zeta/astra-proofs.md T6.1
def:graded-fock	graded Fock space, fermion parity, periodic and antiperiodic translations	report/sections/02f_definitions_graded_cmps.tex	stipulated	-	session 2026-09-13 (cMPS parity calculation)
def:cmps-ring-vector	boson-fermion cMPS ring vector, boundary matrix, bond grading, twisted and untwisted rings	report/sections/02f_definitions_graded_cmps.tex	stipulated	-	session 2026-09-13; state of 1211.3935 made rigorous via J
def:cmps-transfer-generators	sign-twisted transfer generators, doubled-bond parity, graded supertrace and superdeterminant on the doubled bond	report/sections/02f_definitions_graded_cmps.tex	stipulated	-	session 2026-09-13
